L:D02BF,L:D03BF,L:D11BF,L:D12BF,L:D13BF,L:D21BF,L:D22BF,L:D23BF,L:D31BF,L:D32BF,L:D33BF,L:D34BF,L:D41BF,L:D42BF,L:D43BF,L:D51BF,L:D52BF,L:D53BF,L:D54BF,L:D61BF,L:D62BF,L:D63BF,L:D64BF,L:D71BF,L:D72BF,L:D73BF,L:D74BF
116.6887516387602,84.48195877847023,-77.81424246893855,-96.53999427352583,154.79024641505413,-66.72158406411056,-70.57829959028521,-167.33215345197294,-139.18075108667716,111.21384670814804,7.977358853409267,-90.51729945597836,-175.9998733392042,-20.960789411059192,149.49343842842023,-79.35200900267182,130.6677958381441,-1.7371930635272377,45.22535701604318,-174.22105138261304,79.68172303029475,33.187413185221814,42.59860159079809,96.986670778551,104.9147887308389,-82.25296871119271,94.18803073154068
117.0622867950102,84.71816483315773,-77.99551688300105,-96.52351478133832,154.36727278224163,-67.23794148598556,-70.66619021528521,-167.37609876447294,-139.09835362573966,111.61484768471055,7.763125454971767,-90.69308070597836,-176.20312040951669,-21.048680036059192,150.00430268623273,-79.28059786985932,130.7666727912691,-1.3856305635272377,44.89027400823068,-174.41331212480054,79.68721619435725,33.121495216471814,42.69747854392309,97.11301355198847,105.3762145120889,-82.10465328150521,94.29789401279068
116.8260807403227,85.04775467690773,-78.52835379706355,-95.34248450790083,155.02645246974163,-67.29287312661056,-70.29265505903521,-166.09069837384794,-139.18075108667716,111.43357327064804,6.790835415909267,-92.86288051066587,-176.20312040951669,-20.59274741887169,150.08120698310773,-79.13777560423432,129.8163554084566,-1.3856305635272377,46.21412654729318,-174.95713536698804,79.73665467091975,31.885533302409318,41.56039358298559,97.17893152073847,104.7609801370889,-81.91788570338021,94.8636899112282
116.9579166778227,85.02578202065773,-77.73733817206355,-95.96321204696332,154.90560286036663,-67.80923054848556,-70.32561404341021,-166.83227552228544,-139.08736729761466,108.61008694252304,7.499453579971767,-90.61617640910336,-175.33520048764169,-20.70261070012169,149.36709565498273,-79.03340548704682,130.4645487678316,-1.5559186494647377,46.10975643010568,-174.28696935136304,79.73665467091975,32.434849708659314,42.45028616111059,97.107520387926,104.1787047464639,-82.42874996119271,94.6659360049782
116.7217106231352,84.51491776284523,-78.98428641425105,-96.22139075790083,154.61995832911663,-67.32033894692306,-70.55632693403521,-167.33215345197294,-139.12581944605216,111.18638088783555,7.872988736221767,-90.52279262004087,-176.04931181576669,-21.004734723559192,149.92739838935773,-79.30257052610932,130.5744120490816,-1.8855084932147377,45.17591853948068,-174.97361485917554,79.70369568654475,33.176426857096814,42.61508108298559,97.030616091051,102.8987975199014,-82.28592769556771,94.29789401279068
117.1336979278227,84.47097245034523,-78.08890067206355,-95.55122474227583,154.60347883692913,-67.05666707192306,-70.61675173872271,-166.58508313947294,-139.42245030542716,110.44480373939804,7.455508267471767,-91.22591762004087,-175.96142119076669,-21.015721051684192,150.31741303779523,-79.35200900267182,130.6293436897066,-1.5009870088397377,44.90126033635568,-175.14939610917554,79.71468201466975,32.852330177409314,42.39535452048559,97.195411012926,104.1841979105264,-81.81900875025521,94.4681820987282
116.6173405059477,83.67446366128273,-78.31961356268855,-95.46882728133832,154.94954817286663,-66.96328328286056,-70.33110720747271,-166.84326185041044,-139.96078038355216,108.56614163002304,7.224795376846767,-91.95650844035336,-176.28002470639169,-20.52682945012169,150.21304292060773,-79.33552951048432,130.2173563850191,-1.3856305635272377,45.70326228948068,-174.29795567948804,79.85201111623225,32.577671974284314,42.21957327048559,97.25583581761347,104.9587340433389,-81.81900875025521,94.07816745029068
116.7217106231352,84.77858963784523,-77.46267996893855,-96.30378821883832,154.81771223536663,-66.94680379067306,-70.44097048872271,-167.12890638166044,-139.12032628198966,108.65403225502304,7.851016079971767,-90.50631312785336,-175.9669143548292,-20.81247398137169,149.45498627998273,-79.13777560423432,130.7666727912691,-1.8470563447772377,45.64283748479318,-174.37485997636304,79.63777771779475,33.039097755534314,42.56014944236059,97.052588747301,104.6785826761514,-82.40128414088021,94.53959323154068
117.3644108184477,84.99831620034523,-78.92386160956355,-95.62263587508832,155.14180891505413,-67.58401082192306,-70.22124392622271,-166.09069837384794,-139.38949132105216,108.61008694252304,7.301699673721767,-92.46187953410336,-175.2088577142042,-20.58176109074669,149.92739838935773,-79.12678927610932,130.0690409553316,-1.4570416963397377,46.30201717229318,-174.13865392167554,79.91243592091975,31.808629005534318,41.43405080954809,97.06906823948847,104.5137877542764,-82.26944820338021,92.88065768466568
117.0238346465727,84.67421952065773,-78.01199637518855,-96.25434974227583,154.44967024317913,-68.39699910317306,-70.67717654341021,-166.69494642072294,-139.29610753198966,110.97764065346055,7.757632290909267,-90.75350551066587,-175.6043655267042,-21.037693707934192,150.35037202217023,-79.30806369017182,130.7062479865816,-1.4954938447772377,44.51673885198068,-174.31992833573804,79.59932556935725,33.094029396159314,42.60958791892309,97.10202722386347,104.7499938089639,-82.06620113306771,94.34183932529068
