L:RFBPAH,L:V1QSET,L:V2QSET,L:V3QSET,L:V4QSET,L:V5QSET,L:RFQPAH
235.08498028811172,-34.07322003321654,-26.40180197989301,-40.10078605044989,-22.99278481118719,-36.19383148418689,228.93050844409797
235.08498028811172,-34.07322003321654,-26.40180197989301,-40.10078605044989,-22.99278481118719,-36.19383148418689,228.93050844409797
235.08498028811172,-34.07322003321654,-26.40180197989301,-40.10078605044989,-22.99278481118719,-36.19383148418689,228.93050844409797
235.08498028811172,-34.07322003321654,-26.40180197989301,-40.10078605044989,-22.99278481118719,-36.19383148418689,228.93050844409797
235.08498028811172,-34.07322003321654,-26.40180197989301,-40.10078605044989,-22.99278481118719,-36.19383148418689,228.93050844409797
235.08498028811172,-34.07322003321654,-26.40180197989301,-40.10078605044989,-22.99278481118719,-36.19383148418689,228.93050844409797
235.08498028811172,-34.07322003321654,-26.40180197989301,-40.10078605044989,-22.99278481118719,-36.19383148418689,228.93050844409797
235.08498028811172,-34.07322003321654,-26.40180197989301,-40.10078605044989,-22.99278481118719,-36.19383148418689,228.93050844409797
235.08498028811172,-34.07322003321654,-26.40180197989301,-40.10078605044989,-22.99278481118719,-36.19383148418689,228.93050844409797
235.08498028811172,-34.07322003321654,-26.40180197989301,-40.10078605044989,-22.99278481118719,-36.19383148418689,228.93050844409797
235.08498028811172,-34.07322003321654,-26.40180197989301,-40.10078605044989,-22.99278481118719,-36.19383148418689,228.93050844409797
235.08498028811172,-34.07322003321654,-26.40180197989301,-40.10078605044989,-22.99278481118719,-36.19383148418689,228.93050844409797
235.08498028811172,-34.07322003321654,-26.40180197989301,-40.10078605044989,-22.99278481118719,-36.19383148418689,228.93050844409797
235.08498028811172,-34.07322003321654,-26.40180197989301,-40.10078605044989,-22.99278481118719,-36.19383148418689,228.93050844409797
235.08498028811172,-34.07322003321654,-26.40180197989301,-40.10078605044989,-22.99278481118719,-36.19383148418689,228.93050844409797
235.08498028811172,-34.07322003321654,-26.40180197989301,-40.10078605044989,-22.99278481118719,-36.19383148418689,228.93050844409797
